ID,Term
GO:0007613,Memory
GO:0051222,Positive Regulation of Protein Transport
GO:0034205,Amyloid-Beta Formation
GO:0050708,Regulation of Protein Secretion
GO:0042987,Amyloid Precursor Protein Catabolic Process
GO:0050435,Amyloid-Beta Metabolic Process
GO:0042982,Amyloid Precursor Protein Metabolic Process
GO:1902175,Regulation of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway
GO:0007616,Long-Term Memory
GO:0006509,Membrane Protein Ectodomain Proteolysis
GO:0031982,Vesicle
GO:0030659,Cytoplasmic Vesicle Membrane
GO:0005770,Late Endosome
GO:0045334,Clathrin-Coated Endocytic Vesicle
GO:0045121,Membrane Raft
GO:0030139,Endocytic Vesicle
GO:0005802,trans-Golgi Network
GO:0010008,Endosome Membrane
GO:0030669,Clathrin-Coated Endocytic Vesicle Membrane
GO:0030667,Secretory Granule Membrane
GO:0004875,Complement Receptor Activity
GO:0030169,Low-Density Lipoprotein Particle Binding
GO:0004190,Aspartic-Type Endopeptidase Activity
GO:0071813,Lipoprotein Particle Binding
GO:0070325,Lipoprotein Particle Receptor Binding
GO:0004866,Endopeptidase Inhibitor Activity
GO:0048156,Tau Protein Binding
GO:0120146,Sulfatide Binding
GO:0008035,High-Density Lipoprotein Particle Binding
GO:0019828,Aspartic-Type Endopeptidase Inhibitor Activity
